pipeline_id,total_tasks,is_production,pipeline_success
pipe-aajpt,1,0,1
pipe-aavnq,1,0,1
pipe-acftp,1,0,1
pipe-acoca,1,0,1
pipe-adxsr,1,0,1
pipe-adzup,1,0,1
pipe-aeiwp,1,0,1
pipe-aejwu,1,0,0
pipe-aemha,1,0,1
pipe-afmvw,1,0,1
pipe-agxgg,1,0,0
pipe-ahkzh,1,0,1
pipe-aiqzq,1,0,1
pipe-ajdtu,1,0,1
pipe-ajeiv,1,0,1
pipe-akdsj,1,0,1
pipe-akqfp,1,0,1
pipe-ampjf,1,0,0
pipe-aneay,1,0,1
pipe-anrep,1,0,1
pipe-aoejc,1,0,1
pipe-aqhdv,1,0,0
pipe-aqmmn,1,0,1
pipe-arqgt,1,0,1
pipe-asqgq,1,0,0
pipe-asqyg,1,0,1
pipe-auogf,1,0,1
pipe-auzqw,1,0,1
pipe-avcym,1,0,1
pipe-avmxf,1,0,1
pipe-awxss,1,0,1
pipe-axjjm,1,0,1
pipe-axmrj,1,0,1
pipe-axyol,1,0,0
pipe-ayhgi,1,0,1
pipe-ayqae,1,0,1
pipe-azhtn,1,0,1
pipe-azmhb,1,0,1
pipe-azxnc,1,0,1
pipe-bbixc,1,0,0
pipe-bbzle,1,0,1
pipe-bckhc,1,0,1
pipe-bctpx,1,0,1
pipe-bcvcy,1,0,1
pipe-bcwkh,1,0,1
pipe-bcxxl,1,0,1
pipe-bdfoy,1,0,0
pipe-bdxal,1,0,0
pipe-begvx,1,0,1
pipe-bfjrp,1,0,1
pipe-bfrwo,1,0,1
pipe-bhedj,1,0,1
pipe-bhgzt,1,0,0
pipe-bhogj,1,0,1
pipe-bicau,1,0,0
pipe-bihbx,1,0,0
pipe-bisif,1,0,1
pipe-bjhnp,1,0,1
pipe-bjudx,1,0,0
pipe-bltxq,1,0,1
pipe-bmqbq,1,0,1
pipe-bmvzu,1,0,0
pipe-bmxgt,1,0,0
pipe-boyln,1,0,1
pipe-bpdpu,1,0,1
pipe-brhwg,1,0,1
pipe-bruex,1,0,1
pipe-brupi,1,0,0
pipe-btcbh,1,0,0
pipe-bthxj,1,0,1
pipe-btiwd,1,0,0
pipe-buiwg,1,0,0
pipe-bvfsz,1,0,1
pipe-bvgdr,1,0,1
pipe-bvhxp,1,0,0
pipe-bvkwc,1,0,1
pipe-bvlhn,1,0,1
pipe-cbvgd,1,0,1
pipe-ccyte,1,0,0
pipe-cekpm,1,0,0
pipe-cflpw,1,0,1
pipe-cfqsw,1,0,1
pipe-cgxgq,1,0,0
pipe-cmgpt,1,0,1
