pipeline_id,total_tasks,failed_tasks,stage_count,task_failure_rate
pipe-aavnq,1,0.0,1.0,0.0
pipe-acftp,1,0.0,1.0,0.0
pipe-acoca,1,0.0,1.0,0.0
pipe-adxsr,1,0.0,1.0,0.0
pipe-adzup,1,0.0,1.0,0.0
pipe-aeiwp,1,0.0,1.0,0.0
pipe-aejwu,1,0.0,1.0,0.0
pipe-aemha,1,1.0,1.0,1.0
pipe-afmvw,1,0.0,1.0,0.0
pipe-agxgg,1,0.0,1.0,0.0
pipe-ahkzh,1,1.0,1.0,1.0
pipe-aiqzq,1,0.0,1.0,0.0
pipe-ajdtu,1,0.0,1.0,0.0
pipe-ajeiv,1,0.0,1.0,0.0
pipe-akdsj,1,0.0,1.0,0.0
pipe-akqfp,1,0.0,1.0,0.0
pipe-ampjf,1,0.0,1.0,0.0
pipe-aneay,1,1.0,1.0,1.0
pipe-anrep,1,0.0,1.0,0.0
pipe-aoejc,1,0.0,1.0,0.0
pipe-aqhdv,1,0.0,1.0,0.0
pipe-aqmmn,1,1.0,1.0,1.0
pipe-arqgt,1,0.0,1.0,0.0
pipe-asqgq,1,0.0,1.0,0.0
pipe-asqyg,1,1.0,1.0,1.0
pipe-auogf,1,0.0,1.0,0.0
pipe-auzqw,1,0.0,1.0,0.0
pipe-avcym,1,0.0,1.0,0.0
pipe-avmxf,1,0.0,1.0,0.0
pipe-awxss,1,0.0,1.0,0.0
pipe-axjjm,1,0.0,1.0,0.0
pipe-axmrj,1,0.0,1.0,0.0
pipe-axyol,1,0.0,1.0,0.0
pipe-ayhgi,1,1.0,1.0,1.0
pipe-ayqae,1,0.0,1.0,0.0
pipe-azhtn,1,0.0,1.0,0.0
pipe-azmhb,1,0.0,1.0,0.0
pipe-azxnc,1,0.0,1.0,0.0
pipe-bbixc,1,0.0,1.0,0.0
pipe-bbzle,1,1.0,1.0,1.0
pipe-bckhc,1,0.0,1.0,0.0
pipe-bctpx,1,0.0,1.0,0.0
pipe-bcvcy,1,0.0,1.0,0.0
pipe-bcwkh,1,0.0,1.0,0.0
pipe-bcxxl,1,0.0,1.0,0.0
pipe-bdfoy,1,0.0,1.0,0.0
pipe-bdxal,1,1.0,1.0,1.0
pipe-begvx,1,1.0,1.0,1.0
pipe-bfjrp,1,0.0,1.0,0.0
pipe-bfrwo,1,0.0,1.0,0.0
pipe-bhedj,1,0.0,1.0,0.0
pipe-bhgzt,1,0.0,1.0,0.0
pipe-bhogj,1,1.0,1.0,1.0
pipe-bicau,1,0.0,1.0,0.0
pipe-bihbx,1,1.0,1.0,1.0
pipe-bisif,1,1.0,1.0,1.0
pipe-bjhnp,1,0.0,1.0,0.0
pipe-bjudx,1,0.0,1.0,0.0
pipe-bltxq,1,1.0,1.0,1.0
pipe-bmqbq,1,0.0,1.0,0.0
pipe-bmvzu,1,0.0,1.0,0.0
pipe-bmxgt,1,1.0,1.0,1.0
pipe-boyln,1,1.0,1.0,1.0
pipe-bpdpu,1,0.0,1.0,0.0
pipe-brhwg,1,0.0,1.0,0.0
pipe-bruex,1,0.0,1.0,0.0
pipe-brupi,1,0.0,1.0,0.0
pipe-btcbh,1,1.0,1.0,1.0
pipe-bthxj,1,1.0,1.0,1.0
pipe-btiwd,1,0.0,1.0,0.0
pipe-buiwg,1,1.0,1.0,1.0
pipe-bvfsz,1,1.0,1.0,1.0
pipe-bvgdr,1,0.0,1.0,0.0
pipe-bvhxp,1,0.0,1.0,0.0
pipe-bvkwc,1,1.0,1.0,1.0
pipe-bvlhn,1,0.0,1.0,0.0
pipe-cbvgd,1,0.0,1.0,0.0
pipe-ccyte,1,0.0,1.0,0.0
pipe-cekpm,1,1.0,1.0,1.0
pipe-cflpw,1,1.0,1.0,1.0
pipe-cfqsw,1,0.0,1.0,0.0
pipe-cgxgq,1,0.0,1.0,0.0
pipe-cmgpt,1,1.0,1.0,1.0
pipe-cnvvo,1,0.0,1.0,0.0
pipe-cpqfc,1,0.0,1.0,0.0
pipe-crdtv,1,0.0,1.0,0.0
pipe-crzdj,1,0.0,1.0,0.0
pipe-csnma,1,0.0,1.0,0.0
pipe-cuggo,1,0.0,1.0,0.0
pipe-cunlf,1,0.0,1.0,0.0
pipe-cvrvp,1,0.0,1.0,0.0
pipe-cwhdm,1,0.0,1.0,0.0
pipe-cxisk,1,0.0,1.0,0.0
pipe-cxksw,1,0.0,1.0,0.0
pipe-cygxp,1,1.0,1.0,1.0
pipe-daqmy,1,1.0,1.0,1.0
pipe-dbcfy,1,1.0,1.0,1.0
pipe-dbckx,1,0.0,1.0,0.0
pipe-dbxus,1,0.0,1.0,0.0
pipe-ddfsk,1,1.0,1.0,1.0
pipe-ddgcp,1,0.0,1.0,0.0
pipe-ddkns,1,1.0,1.0,1.0
pipe-ddtut,1,0.0,1.0,0.0
pipe-depay,1,0.0,1.0,0.0
pipe-dflcy,1,0.0,1.0,0.0
pipe-dgsjk,1,0.0,1.0,0.0
pipe-dhjlp,1,0.0,1.0,0.0
pipe-dipux,1,0.0,1.0,0.0
pipe-djqdv,1,0.0,1.0,0.0
pipe-dkbte,1,0.0,1.0,0.0
pipe-dlxri,1,0.0,1.0,0.0
pipe-dmdtp,1,0.0,1.0,0.0
pipe-dmmsh,1,0.0,1.0,0.0
pipe-dnwgk,1,0.0,1.0,0.0
pipe-dorzb,1,0.0,1.0,0.0
pipe-dpfbn,1,0.0,1.0,0.0
pipe-dpfhg,1,0.0,1.0,0.0
pipe-drfjj,1,0.0,1.0,0.0
pipe-drzhe,1,0.0,1.0,0.0
pipe-dtowh,1,0.0,1.0,0.0
pipe-dziyd,1,0.0,1.0,0.0
pipe-dzzvj,1,0.0,1.0,0.0
pipe-dzzvq,1,1.0,1.0,1.0
pipe-eaaot,1,0.0,1.0,0.0
pipe-ebtop,1,1.0,1.0,1.0
pipe-ecdyu,1,0.0,1.0,0.0
pipe-echgs,1,0.0,1.0,0.0
pipe-eckkd,1,0.0,1.0,0.0
pipe-eckve,1,1.0,1.0,1.0
pipe-efmsx,1,0.0,1.0,0.0
pipe-efven,1,0.0,1.0,0.0
pipe-efzlj,1,0.0,1.0,0.0
pipe-ehsld,1,0.0,1.0,0.0
pipe-ehubv,1,1.0,1.0,1.0
pipe-ehxnj,1,0.0,1.0,0.0
pipe-eikbb,1,1.0,1.0,1.0
pipe-ekieq,1,0.0,1.0,0.0
pipe-ekozy,1,0.0,1.0,0.0
pipe-eldsb,1,1.0,1.0,1.0
