"Title","Year","Venue","Domain","Type","Language","Source","Presentation","Artifacts"
"A benchmark of data loss bugs for Android apps.","2019","MSR","Mobile Apps","Functional","Java","Issue Reports","Framework","https://gitlab.com/learnERC/DataLossRepository"
"A buffer overflow benchmark for software model checkers.","2007","ASE","General","Security","C/C++","Vulnerability Datasets","","http://www.cs.toronto.edu/~kelvin/benchmark"
"A C/C++ Code Vulnerability Dataset with Code Changes and CVE Summaries.","2020","MSR","General","Security","C/C++","Vulnerability Datasets","Metadata","https://github.com/ZeoVan/MSR_20_Code_Vulnerability_CSV_Dataset;https://drive.google.com/file/d/1-0VhnHBp9IGh90s2wCNjeCMuy70HPl8X/view"
"A comprehensive study of autonomous vehicle bugs.","2020","ICSE","Autonomous Systems","Functional;Security","C/C++","Issue Reports","Metadata","https://sites.google.com/view/av-bug-study/home;https://www.dropbox.com/scl/fi/cn6zf4gytzy5krn642vi6/CPS_Bug_Understanding.zip?rlkey=drgwqgnnpoj7mgsa57jds71pc&e=1&dl=0"
"A comprehensive study of deep learning compiler bugs.","2021","FSE","Compilers & Runtimes;Machine Learning","Concurrency;Functional;Performance","C/C++;Python","Issue Reports","Metadata","https://github.com/ShenQingchao/DLCstudy"
"A Comprehensive Study of Real-World Bugs in Machine Learning Model Optimization.","2023","ICSE","Machine Learning","Functional;Performance","C/C++;Python","Issue Reports","Metadata","https://github.com/MOB2022/MOB-dataset/tree/master"
"A comprehensive study of real-world numerical bug characteristics.","2017","ASE","Scientific Computing","Functional;Performance","C/C++;Fortran;Python","Issue Reports","Metadata","https://docs.google.com/spreadsheets/d/1A68dC8mM4GGZIZfXLm3cr_iUClnyylqxGRJcFSiZ22Y/edit?gid=0#gid=0"
"A Comprehensive Study of WebAssembly Runtime Bugs.","2023","SANER","Compilers & Runtimes","Functional;Performance","C/C++;JavaScript;Rust","Issue Reports","Metadata","https://github.com/Wang11Yue/WebAssembly_Runtime_Bugs"
"A comprehensive study on real world concurrency bugs in Node.js.","2017","ASE","General","Concurrency","JavaScript","Issue Reports","","http://www.tcse.cn/~wsdou/project/NodeCB"
"A curated dataset of security defects in scientific software projects.","2020","HotSoS","Scientific Computing","Security","Julia","CI/CD","","http://tiny.cc/hotsos20_scisof"
"A Dataset of High Impact Bugs: Manually-Classified Issue Reports.","2015","MSR","General","Functional;Performance;Security","","Issue Reports","","http://oss.sys.wakayama-u.ac.jp/?p=1009"
"A dataset of non-functional bugs.","2019","MSR","General","Performance;Security","Java;Python","Version Control","Metadata","https://github.com/ualberta-smr/NFBugs"
"A Dataset of Vulnerable Code Changes of the Chromium OS Project.","2021","ICSE","Compilers & Runtimes","Security","C/C++","Issue Reports","Metadata","https://zenodo.org/record/4539891"
