pipeline_id,total_tasks,failed_task_count,retry_count,is_production,build_duration_min,pipeline_success,past_failures_5,failure_rate_10
pipe-aajpt,1,0,0,0,0.0,1,0.0,1.0
pipe-aavnq,1,0,0,0,0.0,1,0.0,1.0
pipe-acftp,1,0,0,0,0.0,1,0.0,1.0
pipe-acoca,1,0,0,0,0.0,1,0.0,1.0
pipe-adxsr,1,0,0,0,0.0,1,0.0,1.0
pipe-adzup,1,0,0,0,0.0,1,0.0,1.0
pipe-aeiwp,1,0,0,0,0.0,1,0.0,1.0
pipe-aejwu,1,1,0,0,0.0,0,0.0,1.0
pipe-aemha,1,0,0,0,0.0,1,1.0,1.0
pipe-afmvw,1,0,0,0,0.0,1,1.0,1.0
pipe-agxgg,1,1,0,0,0.0,0,1.0,0.9
pipe-ahkzh,1,0,0,0,0.0,1,2.0,0.8
pipe-aiqzq,1,0,0,0,0.0,1,2.0,0.8
pipe-ajdtu,1,0,0,0,0.0,1,1.0,0.8
pipe-ajeiv,1,0,0,0,0.0,1,1.0,0.8
pipe-akdsj,1,0,0,0,0.0,1,1.0,0.8
pipe-akqfp,1,0,0,0,0.0,1,0.0,0.8
pipe-ampjf,1,1,0,0,0.0,0,0.0,0.8
pipe-aneay,1,0,0,0,0.0,1,1.0,0.8
pipe-anrep,1,0,0,0,0.0,1,1.0,0.8
pipe-aoejc,1,0,0,0,0.0,1,1.0,0.8
pipe-aqhdv,1,1,0,0,0.0,0,1.0,0.9
pipe-aqmmn,1,0,0,0,0.0,1,2.0,0.8
pipe-arqgt,1,0,0,0,0.0,1,1.0,0.8
pipe-asqgq,1,1,0,0,0.0,0,1.0,0.8
pipe-asqyg,1,0,0,0,0.0,1,2.0,0.7
pipe-auogf,1,0,0,0,0.0,1,2.0,0.7
pipe-auzqw,1,0,0,0,0.0,1,1.0,0.7
pipe-avcym,1,0,0,0,0.0,1,1.0,0.8
pipe-avmxf,1,0,0,0,0.0,1,1.0,0.8
pipe-awxss,1,0,0,0,0.0,1,0.0,0.8
pipe-axjjm,1,0,0,0,0.0,1,0.0,0.8
pipe-axmrj,1,0,0,0,0.0,1,0.0,0.9
pipe-axyol,1,1,0,0,0.0,0,0.0,0.9
pipe-ayhgi,1,0,0,0,0.0,1,1.0,0.8
pipe-ayqae,1,0,0,0,0.0,1,1.0,0.9
pipe-azhtn,1,0,0,0,0.0,1,1.0,0.9
pipe-azmhb,1,0,0,0,0.0,1,1.0,0.9
pipe-azxnc,1,0,0,0,0.0,1,1.0,0.9
pipe-bbixc,1,1,0,0,0.0,0,0.0,0.9
pipe-bbzle,1,0,0,0,0.0,1,1.0,0.8
pipe-bckhc,1,0,0,0,0.0,1,1.0,0.8
pipe-bctpx,1,0,0,0,0.0,1,1.0,0.8
pipe-bcvcy,1,0,0,0,0.0,1,1.0,0.8
